iter	Passed	Remaining
0	5	255
1	10	241
2	15	238
3	20	234
4	25	229
5	30	223
6	35	217
7	40	211
8	45	205
9	50	201
10	55	196
11	60	191
12	65	185
13	70	180
14	75	175
15	79	169
16	84	164
17	89	159
18	94	154
19	99	149
20	104	144
21	108	138
22	114	133
23	119	129
24	124	124
25	129	119
26	134	114
27	139	109
28	139	101
29	144	96
30	149	91
31	154	87
32	159	82
33	164	77
34	169	72
35	174	67
36	179	62
37	184	58
38	190	53
39	195	48
40	200	43
41	204	39
42	209	34
43	210	28
44	215	23
45	220	19
46	225	14
47	230	9
48	235	4
49	240	0
